Postcode,Latitude,Longtitude
CR2 6PU,51.363359,-0.097361772
NP18 3NY,51.6221,-2.9630829
L25 5NA,53.376802,-2.8529518
S73 9QR,53.532203,-1.3823449
OX10 8AB,51.606099,-1.1338797
WN2 2AT,53.543253,-2.6059685
BN12 6DH,50.820072,-0.4108996
EX15 1JW,50.857236,-3.3926242
SR5 3BQ,54.916872,-1.4406599
CT2 7BH,51.29402,1.0841038
GL8 8JN,51.640127,-2.1626071
LN4 4SG,53.105092,-0.17384936
SP1 2LB,51.063099,-1.7799038
EH11 3LW,55.929542,-3.2578731
LE12 9AN,52.772941,-1.2907291
CM18 6NZ,51.757883,0.11337392
SE13 6TT,51.447671,-0.00094727
CV7 8HB,52.504756,-1.5669857
NG17 9JD,53.077692,-1.2581764
B32 3JX,52.43494,-1.9969406
SN12 7AE,51.380973,-2.1286806
HU5 5RS,53.761303,-0.40018051
GU11 3LA,51.246862,-0.77483459
YO30 6EF,53.975586,-1.0890489
DY1 2NW,52.509477,-2.1122733
PO12 3AP,50.804465,-1.1518188
WF10 3EE,53.720083,-1.3234055
TS23 2HZ,54.610638,-1.2844305
BN3 3YF,50.830908,-0.17302848
NE38 9ET,54.879675,-1.5506809
N2 8JN,51.594082,-0.17371189
NE38 8HG,54.903636,-1.5007597
YO12 6JG,54.289399,-0.4180378
LL53 6HD,52.934398,-4.5205915
NG11 9FE,52.898053,-1.180927
IP2 0JW,52.057368,1.127029
WS4 1RD,52.615521,-1.9554268
NG3 7EJ,52.960222,-1.104543
PR9 8NU,53.674496,-2.9533253
CM3 5JT,51.649252,0.60925456
IP32 6SP,52.258806,0.69526691
PO12 3NJ,50.79771,-1.1430301
B14 7NH,52.427559,-1.9069219
CW5 5QB,53.071071,-2.5179897
DN22 7RY,53.307363,-0.95452888
B44 0QN,52.543208,-1.8790603
SE13 6QA,51.453261,-0.008115679
DE22 3LH,52.912102,-1.5017602
HP13 5HT,51.637982,-0.75129078
BL7 9SN,53.630171,-2.4416919
CV4 7BB,52.3921,-1.5496609
DE13 7AE,52.732494,-1.7469896
BN17 5PL,50.804403,-0.53210749
BN43 5UA,50.835147,-0.27246074
SS14 3LT,51.583126,0.49376011
BS16 2NN,51.486701,-2.5199071
SN12 7NB,51.372462,-2.1329665
LS28 9EG,53.793313,-1.6525812
PO36 8AF,50.655861,-1.1509465
CM23 5AL,51.87053,0.17511649
PA3 1LW,55.848052,-4.4443446
DG10 9DW,55.332964,-3.4437136
HX3 6NE,53.734545,-1.8653212
NG5 8BA,53.006315,-1.1158548
CH48 6DP,53.378543,-3.1685265
M34 3DN,53.456271,-2.1041136
BS10 5EN,51.496253,-2.5985237
CW10 0AG,53.183909,-2.440338
KW14 8AA,58.595135,-3.5198322
L14 9PJ,53.419857,-2.875632
M22 9UE,53.388388,-2.2589503
N1 8JT,51.534238,-0.098463547
LL18 4LT,53.314958,-3.466783
B79 8AS,52.644749,-1.6914522
SG15 6RA,52.006378,-0.26537471
ST5 2QX,53.002272,-2.2495685
HG2 7AA,53.988062,-1.5039597
AB10 6XL,57.139951,-2.1250459
IV2 4HT,57.459681,-4.2134818
NP20 6NE,51.614822,-3.0084819
FK10 2JL,56.123064,-3.8084314
BL9 6NX,53.607448,-2.2926174
KT7 0SA,51.390695,-0.33272697
BB5 1AS,53.755313,-2.3644876
L39 3LU,53.565641,-2.8931211
NN17 1ED,52.496623,-0.6953221
DH7 9SA,54.799647,-1.6702527
SS9 5UU,51.563831,0.66411352
CV8 1FB,52.333965,-1.5728224
G72 7EL,55.818873,-4.1686256
S73 0LP,53.518362,-1.4111413
DL1 2PT,54.540947,-1.5501729
BR8 7DN,51.396357,0.16364438
LE6 0DJ,52.662345,-1.2241367
PE29 2LQ,52.308023,-0.1613411
WA3 2NY,53.469373,-2.5720295
NN8 5BG,52.308191,-0.69973887
S6 4HL,53.403458,-1.5014111
CB24 5ND,52.31666,0.015813527
PE38 0AD,52.598992,0.39736182
CR0 4LH,51.371691,-0.10927196
IV3 5NZ,57.470807,-4.2362857
HU16 4HP,53.78453,-0.41365605
LS10 4LS,53.748073,-1.5489603
KA30 8LH,55.797928,-4.8664299
DY5 1LL,52.48847,-2.1186406
NE29 6HW,54.998566,-1.4747276
CT1 1RY,51.274949,1.1042642
CF36 5ES,51.485535,-3.6932885
SE20 7EZ,51.415299,-0.053413867
PE10 9NE,52.768203,-0.37889788
ML3 7LA,55.768558,-4.0403326
PR8 6PU,53.641512,-2.9980353
NR5 8TU,52.638439,1.2444277
EH7 4PE,55.963445,-3.1787624
MK40 2QH,52.139257,-0.47569919
WV13 2RN,52.587134,-2.0345689
BS14 0LN,51.404718,-2.5714357
FY3 9TF,53.805522,-3.0133165
CF83 2PB,51.58926,-3.2376486
SY11 4JA,52.849285,-3.0266736
SA4 4HQ,51.659554,-4.0305353
TW8 8AQ,51.482754,-0.31040422
SE15 1NL,51.478751,-0.0539249
SY7 9QJ,52.439822,-2.8361346
EX4 6JQ,50.733028,-3.5223804
WV10 0RE,52.601214,-2.1068386
TW7 7DT,51.462983,-0.33137509
SM1 2QN,51.368064,-0.20044657
EH32 9AD,55.959885,-2.9833157
KT10 0JG,51.360268,-0.34056852
KY11 3AF,56.065026,-3.4555097
HA3 5AH,51.592864,-0.33424281
WV5 9JD,52.536262,-2.1865871
TF4 2DN,52.666776,-2.4599461
PL3 6EE,50.386123,-4.0941901
ST16 2HS,52.805476,-2.1162549
WS12 4LF,52.725022,-2.0167184
S41 0AG,53.222533,-1.4109366
CF83 1JP,51.574121,-3.2201085
IG1 1RS,51.559164,0.072581437
DT9 4DW,50.954737,-2.5155547
CB4 1DF,52.213842,0.13679562
RG31 6DR,51.469111,-1.0292908
NP16 5JN,51.632047,-2.6754693
OL6 6BZ,53.489196,-2.092469
M15 4AY,53.466038,-2.2553862
HU6 9SY,53.783895,-0.38629803
CV9 1AB,52.576948,-1.5460733
BH14 9HU,50.724848,-1.931478
G72 8HE,55.820892,-4.1789868
M8 5AT,53.513622,-2.2342891
KY11 2YR,56.030511,-3.4295445
SK9 4BS,53.337775,-2.2313558
B37 5AJ,52.481978,-1.7567766
ST3 7TW,52.966288,-2.0949343
PO6 3NZ,50.847666,-1.0782797
IP19 8AH,52.343765,1.5023712
EH21 8RA,55.935453,-3.0891481
RH6 8RA,51.1746,-0.17477021
M45 6AU,53.542538,-2.2873101
LS13 2BH,53.808603,-1.6232832
M14 7DW,53.443711,-2.2285592
SS7 4EN,51.571569,0.55934116
CV36 4AB,52.063027,-1.6250489
FK1 5QX,55.994158,-3.7879593
G44 4ER,55.817955,-4.267353
RM10 7UB,51.55216,0.16214432
NN8 3HG,52.299775,-0.70291842
OL11 5DG,53.617055,-2.1795949
WN5 7LA,53.499986,-2.7036578
SW19 8AB,51.434811,-0.19955128
WS15 3DH,52.816823,-1.8767162
W11 4PL,51.511167,-0.21372078
LU1 5RW,51.877386,-0.44376265
ST16 2PD,52.812195,-2.1219402
L5 4LA,53.420475,-2.9689545
IV30 1XU,57.647173,-3.295801
M1 6NG,53.474694,-2.2380518
BN15 9TP,50.826964,-0.34003896
PR2 2NL,53.764264,-2.7216476
NG8 5NP,52.981979,-1.1980338
SR4 8LP,54.895241,-1.4270516
RG26 4QY,51.360501,-1.1488023
BS16 5HN,51.481068,-2.5107132
CO5 8RA,51.778349,0.91934162
PO6 2SG,50.841664,-1.0676605
BL4 7NY,53.549772,-2.3950468
ML5 4EX,55.8518,-4.0188127
TA1 3BP,51.004914,-3.0880526
L4 2QX,53.425486,-2.9527549
DL17 8AT,54.684319,-1.54434
LL18 4BY,53.319967,-3.4753321
B20 3QG,52.50893,-1.9102719
L8 9TD,53.37943,-2.9658273
BS23 4XH,51.322925,-2.9803805
B32 2DX,52.461001,-1.980617
BD3 9BH,53.796608,-1.7399226
FY3 7RW,53.828873,-3.0166302
LE16 9BX,52.477084,-0.92484266
BL6 6DT,53.592223,-2.5400423
SL4 3DR,51.470866,-0.62028808
M23 1EX,53.391428,-2.2855238
L22 4QT,53.480278,-3.0186124
CV32 4SY,52.293364,-1.5299152
OX10 9QL,51.568801,-1.1448181
BB2 4DT,53.734077,-2.5028406
NG18 4AE,53.134242,-1.1970258
NE42 6JD,54.958143,-1.864454
DN6 0LW,53.616513,-1.1440512
ST3 6AD,52.979082,-2.102692
SE25 4PP,51.395319,-0.068177231
NG3 5QG,52.981984,-1.1272246
GL51 7BY,51.900067,-2.1088548
B21 9LN,52.50302,-1.9321312
DA1 3EG,51.446568,0.20306146
CV2 4PS,52.42203,-1.4820812
DH5 0AA,54.814035,-1.4476361
CF37 5ES,51.589186,-3.3090429
NR32 1HU,52.48406,1.7562439
LE10 0XN,52.543427,-1.3885687
NR2 2AA,52.624928,1.2826953
DA2 6EG,51.439151,0.24748434
PL3 4NJ,50.391214,-4.1410823
BL8 2RT,53.592353,-2.3185139
BH22 9PY,50.810049,-1.9003425
B21 0HH,52.506796,-1.950026
SA19 6DF,51.884048,-3.9954057
B91 1BQ,52.429194,-1.7978353
IG8 0XQ,51.609098,0.021648007
SA4 4AG,51.663995,-4.0404801
B93 9BN,52.383363,-1.7553496
NG12 2LF,52.934567,-1.0799131
N6 5BB,51.572754,-0.14010599
ST2 9JT,53.019196,-2.1421121
SW13 0JP,51.466461,-0.25281329
MK6 3JH,52.040267,-0.73680346
TN11 9HR,51.216897,0.24017905
DE23 8BN,52.905837,-1.4830684
SW15 2UE,51.45406,-0.21161844
DA1 4JA,51.45208,0.17953453
WV11 1YD,52.613952,-2.0854841
WR9 7BT,52.256982,-2.150705
CV34 6DZ,52.268711,-1.5386753
WA5 3ND,53.393238,-2.6657447
PL1 5JT,50.372296,-4.1524657
HD4 6LR,53.629001,-1.7822793
B92 9NG,52.43142,-1.766659
M30 7PA,53.47852,-2.375836
B66 4AU,52.473098,-1.9673327
S14 1TD,53.343217,-1.4370023
SG5 2UG,51.960015,-0.28612975
RM1 4NU,51.593091,0.18087898
CF37 1LN,51.59676,-3.3453836
S10 1QP,53.389637,-1.5044896
AB32 6TJ,57.149345,-2.29716
YO15 2QT,54.085202,-0.18928665
KT2 6QJ,51.410605,-0.29279017
E14 7DW,51.512933,-0.025488919
CM12 0LX,51.632056,0.40905859
LA2 7HY,54.118426,-2.5132209
CV5 6HJ,52.404978,-1.5344778
NR12 9BB,52.772003,1.5146283
G66 8DB,55.964486,-4.1603266
LL28 5DS,53.292347,-3.7623295
G64 1NQ,55.897461,-4.2128865
RH19 2NT,51.139577,-0.044834803
NW10 4UX,51.533244,-0.24653761
M41 9BQ,53.447841,-2.3524529
LN5 7BG,53.226063,-0.5439224
N5 2LH,51.557827,-0.091954539
DE23 6FQ,52.905593,-1.5059533
YO15 3DZ,54.080694,-0.19619393
NN2 7BL,52.251831,-0.88183676
SN1 3BH,51.553111,-1.7775212
WS11 5TB,52.704401,-2.0119301
OL9 8HR,53.524574,-2.1538922
PR1 6XH,53.76991,-2.6861965
B64 6HU,52.476832,-2.0682417
LS15 8SQ,53.81523,-1.4418316
LS10 4LA,53.744555,-1.5503778
KY4 0DD,56.132555,-3.3810195
IV30 5RR,57.69974,-3.3949467
PE21 0AN,52.970141,-0.006210987
NN8 3LL,52.306266,-0.72682716
UB3 1PS,51.502601,-0.4410017
SE2 0EW,51.485731,0.10727571
WA5 1BT,53.384472,-2.6194217
PE3 6EY,52.578628,-0.25926995
WF11 8NQ,53.713153,-1.2681832
PO9 1DU,50.856018,-0.98899299
BN2 8LG,50.801023,-0.037428677
WF4 5DL,53.658568,-1.5464507
EH48 1NG,55.90191,-3.6084165
CT16 3AB,51.148079,1.2759168
AB51 4ST,57.288382,-2.3808804
DA17 6LY,51.477879,0.14797216
LS4 2SX,53.813954,-1.5913563
B90 4JA,52.378276,-1.815358
LE4 6RE,52.655161,-1.1077715
NP12 2LB,51.656207,-3.1823259
S75 1JT,53.567689,-1.5306476
RG30 1AD,51.456559,-0.99412159
CM1 7BU,51.756722,0.47327588
EH20 9RE,55.878405,-3.1493617
NR34 9AQ,52.458004,1.563665
PO8 8LH,50.902437,-1.0226458
FK10 2PS,56.133953,-3.8372328
TW9 2LP,51.466213,-0.29399808
HP10 8BL,51.641644,-0.70172166
NN5 7HA,52.250172,-0.91694714
WS8 6DU,52.638354,-1.919968
M38 9SB,53.538673,-2.4260418
SE3 7DT,51.482634,0.019592881
SN5 7XN,51.558021,-1.8258194
LE8 0HS,52.537028,-0.99721613
NG10 1BG,52.894778,-1.2731197
BH23 3QG,50.741307,-1.7449207
PL1 3NB,50.369571,-4.1524408
B61 0DF,52.340406,-2.0534557
CM24 8DB,51.908287,0.19842914
S9 1EP,53.414862,-1.410119
SA15 1RW,51.675496,-4.1533101
NG5 7GE,53.006996,-1.1203268
RG7 3SY,51.376146,-1.0626369
TN14 5AR,51.28877,0.19468232
B62 0HN,52.458349,-2.0178224
HP5 1NG,51.700046,-0.6105944
M27 4AR,53.510847,-2.3347604
TQ12 1NN,50.532731,-3.6232189
LE9 8GS,52.567993,-1.3458101
RG21 3NY,51.250279,-1.0997434
CF83 8GZ,51.594268,-3.19075
BN6 8AD,50.924539,-0.14289678
NG7 2LX,52.944376,-1.1809009
B37 7AU,52.467736,-1.751497
SW2 2TJ,51.454169,-0.11301959
LE3 0TD,52.63183,-1.1515677
BS30 9RU,51.443421,-2.4761923
CF39 9RN,51.612614,-3.4095882
CF39 9AP,51.607985,-3.4094737
N1 4QX,51.549595,-0.087308413
NN2 8LD,52.27111,-0.89549435
E18 1JJ,51.591781,0.02824201
BN41 2LE,50.842639,-0.21987027
CA2 7TH,54.888427,-2.9793014
B35 7JG,52.516227,-1.7881233
N15 4JW,51.589303,-0.079433454
BS35 1UP,51.614158,-2.5110797
DN8 4SX,53.631032,-0.95105268
NN10 9QU,52.289817,-0.61924015
LL18 2PH,53.315932,-3.4774446
SA1 1HE,51.632627,-3.9479924
CF24 3JF,51.49079,-3.170133
DA1 5LD,51.456097,0.22894139
CV32 5LL,52.291605,-1.5419711
CT1 2BG,51.28085,1.0766667
CH62 8HF,53.313481,-2.978612
PA1 1PH,55.844212,-4.4112119
DE12 6JJ,52.738341,-1.5677122
AL9 6DB,51.734346,-0.18900419
S60 5JP,53.399866,-1.3605441
M32 0SF,53.461388,-2.288614
B73 5EZ,52.537565,-1.8363643
FY6 8DA,53.831162,-2.9943954
NG31 9SU,52.919989,-0.60722224
WS3 2UW,52.620013,-2.0203262
S71 2PX,53.569317,-1.4448771
W2 6ET,51.518294,-0.18882367
PE10 9LX,52.767399,-0.37531107
B17 9RU,52.455756,-1.9637988
SO19 2EF,50.904715,-1.3708225
RM8 2UL,51.555132,0.11804122
BS9 3DZ,51.494515,-2.6179904
NN5 5HS,52.23629,-0.91006554
NE24 1BU,55.126288,-1.5118656
NG2 3HE,52.941434,-1.1361655
WV14 0AX,52.565314,-2.0764491
SA11 2EE,51.650324,-3.8167721
SO50 7AU,50.96543,-1.2992568
TS18 4AR,54.561469,-1.3281278
CT10 3HJ,51.372941,1.421027
GL51 0LA,51.909227,-2.1190237
SN13 0EG,51.436781,-2.1899074
CO6 3PU,51.900422,0.81145655
CF14 3AD,51.497709,-3.1929566
FY8 4EP,53.744426,-2.9910265
HA5 2AB,51.598088,-0.3949244
NP20 5PA,51.597646,-2.9992655
OL4 3JB,53.545856,-2.0709819
B14 4PJ,52.404488,-1.8745297
DY8 5TZ,52.478021,-2.1453355
TN13 3NZ,51.286446,0.19537463
IP23 7BD,52.320863,1.149138
CF83 3LP,51.604864,-3.2304486
WN3 4RD,53.536563,-2.6187131
LE19 1XT,52.607797,-1.1896888
WA9 5DT,53.441586,-2.7307241
S66 2SE,53.425532,-1.2656811
G73 3RJ,55.819023,-4.2021726
SK15 1LH,53.485413,-2.0631949
DN1 2BY,53.515988,-1.1282518
CF45 4RB,51.645718,-3.3297924
BN25 2PF,50.776,0.093069415
EX22 7NU,50.881504,-4.2958297
NG34 7PD,52.998428,-0.41093875
RM17 5SY,51.484621,0.34207749
NG9 2FD,52.927337,-1.2041907
WF1 5DX,53.672515,-1.4837103
SE23 1LN,51.448152,-0.040589922
CT14 9RW,51.221814,1.3863226
S70 2RP,53.55373,-1.4868019
E3 2AD,51.52716,-0.026545821
CF34 0NA,51.602435,-3.6413624
KT17 2EJ,51.355843,-0.25150988
SW6 3BX,51.470313,-0.19835559
KW14 7AS,58.588694,-3.5410398
CF44 0PN,51.707003,-3.4213783
CM7 9UL,51.886103,0.56980773
TN15 6RE,51.307668,0.20937249
IV2 3XQ,57.47339,-4.2003345
S5 8AL,53.422877,-1.4708925
DE5 3JQ,53.043458,-1.3925276
AB42 1PR,57.505018,-1.7808756
LD6 5AB,52.30007,-3.5114392
CV11 6SG,52.514379,-1.4450267
EN8 9DG,51.706539,-0.036565783
G11 6SW,55.870973,-4.3145774
CH45 4RX,53.423511,-3.054109
SN9 5HH,51.335036,-1.7669357
MK42 8EP,52.115143,-0.49952446
CV32 7AQ,52.303188,-1.5224785
IP5 1JS,52.058064,1.2298382
ME8 9JU,51.353018,0.59771179
LE12 5LD,52.797136,-1.2604804
DE56 4GD,52.985871,-1.4874913
L21 7LN,53.474832,-2.9852746
WF10 5LB,53.721695,-1.3650699
SK8 3DY,53.371703,-2.2241452
HD4 6JY,53.627908,-1.7895731
TN23 5TS,51.128837,0.8497294
BL3 1BW,53.561933,-2.3812255
B8 2HJ,52.493104,-1.8325524
GU1 1LL,51.252215,-0.5740805
LL29 9PR,53.289104,-3.6971291
PL15 8DU,50.642558,-4.3651096
SO14 0AH,50.91235,-1.3998365
BD16 4NL,53.849233,-1.8310574
TS24 8QH,54.694461,-1.2262185
LS12 5JG,53.785452,-1.6098764
PO5 2SQ,50.786823,-1.0774618
LA4 5UD,54.065119,-2.8433158
WV8 1PD,52.624381,-2.186194
KA3 5DX,55.682451,-4.5104881
TS19 0DQ,54.57361,-1.324788
RH20 2BP,50.957216,-0.50057226
CT5 4LX,51.349773,1.0211731
DN35 7HB,53.568309,-0.045338991
NE15 7AS,54.979265,-1.6863608
HA4 7AN,51.575892,-0.42651742
G53 5AT,55.829463,-4.352749
RM11 2DL,51.571575,0.21093365
FK5 4HX,56.028978,-3.8090999
LN5 8NE,53.210094,-0.54888129
EN4 0JY,51.656734,-0.15322361
M4 4ER,53.492522,-2.2406086
DN11 8NT,53.42213,-1.065601
SL1 7EH,51.526455,-0.66855806
G13 2UX,55.8913,-4.3295103
S11 8PT,53.367904,-1.5005637
LS10 2QG,53.777223,-1.5216679
SA11 2HT,51.638684,-3.8222608
OX26 1BT,51.893607,-1.1626893
SS14 1PB,51.570885,0.48492164
PR25 1XL,53.692385,-2.717131
BB2 6JW,53.751945,-2.5028873
TF10 7QS,52.766894,-2.3842144
DL16 6YQ,54.700997,-1.5998599
BD15 7NQ,53.800307,-1.8213851
ST2 9LT,53.015929,-2.1456042
LS4 2HD,53.806676,-1.5841079
B23 6RS,52.524289,-1.8379906
BN41 1AG,50.83276,-0.20782011
SS13 3AT,51.565274,0.50559665
M11 4PA,53.481605,-2.1702818
DD1 1SS,56.46065,-2.9693148
WV10 7EL,52.635948,-2.127433
DL17 0DA,54.674856,-1.5301948
RH6 9AB,51.173758,-0.15830887
CF5 2DZ,51.49414,-3.2191382
NR32 3HS,52.484043,1.7060895
NE47 5DQ,55.005337,-2.1780445
WV8 1XE,52.617097,-2.1573318
RM10 9LS,51.529919,0.15395338
LE18 1DF,52.591088,-1.1111546
E3 4ES,51.523127,-0.020954042
E17 9NJ,51.582552,-0.013104564
EH48 1DY,55.899033,-3.6364472
LU3 1PE,51.901263,-0.43593163
PE7 1XU,52.56019,-0.11497942
B47 5PA,52.391079,-1.8787997
SG12 9HF,51.814253,-0.031974162
N2 8AQ,51.589713,-0.1645902
SR6 0NL,54.919657,-1.3690423
NR27 9JR,52.927664,1.2847084
B24 0LL,52.525093,-1.8102337
NE11 0BH,54.929076,-1.6259079
PO8 8XJ,50.896932,-1.0170731
WV10 8DS,52.621128,-2.1150705
MK42 0DA,52.12522,-0.44387951
G81 2PE,55.90561,-4.3959345
NE13 6LU,55.051377,-1.6252078
FY4 4JL,53.801891,-3.0206691
BN3 5LP,50.834377,-0.19545951
G20 9DG,55.889094,-4.2875577
HP3 9SD,51.738905,-0.4712343
SS5 6ET,51.622626,0.61272541
WV3 8LU,52.5773,-2.1816705
ST4 2BS,53.011062,-2.1751429
BN20 0HR,50.761159,0.20866967
S6 4EB,53.410357,-1.5067612
SS7 4EN,51.571569,0.55934116
WV14 8DD,52.554024,-2.0602204
G32 0PW,55.854474,-4.1587695
B31 1JT,52.424295,-1.9835887
CA28 8TP,54.538849,-3.5626092
SS7 3PF,51.568879,0.58197688
DG1 2RE,55.069505,-3.612654
TN37 6DX,50.853965,0.55994313
TN4 9DB,51.151708,0.27304134
SE14 5TU,51.468752,-0.050189331
CH3 9PX,53.120595,-2.7685702
LU6 1TD,51.88683,-0.52137915
E4 9HH,51.609349,-0.001420369
BS23 4EL,51.332779,-2.9730405
DH8 5HP,54.854616,-1.8320756
NR4 6NU,52.607919,1.2511664
CA7 4RR,54.844455,-3.2898686
SW17 7AW,51.440487,-0.15570051
PO9 5SJ,50.870402,-0.97302067
NG15 8BS,53.048001,-1.1959589
B33 0QY,52.464843,-1.7747252
B45 9TY,52.39533,-1.9941068
LE10 2PH,52.535289,-1.3610684
DD2 3BZ,56.473032,-3.0108141
HU5 5NA,53.755047,-0.39888627
B32 2RE,52.45283,-1.9874483
NE16 4JJ,54.945547,-1.6823301
SM6 9GL,51.353598,-0.12723682
HX2 9BT,53.747775,-1.8824291
CV8 2EQ,52.35378,-1.5606802
PH1 3LJ,56.421179,-3.51727
SK1 4DU,53.407257,-2.1468492
WD5 0LA,51.698006,-0.42470215
B90 3AG,52.411431,-1.8271867
M26 1HB,53.5458,-2.3693392
BN10 8JJ,50.791064,0.001911321
TQ12 6TN,50.571505,-3.6550412
NN18 9HA,52.477767,-0.71477118
CO15 1PQ,51.788789,1.1539308
BL2 5JG,53.590178,-2.385876
NG9 8PA,52.935677,-1.2696228
M27 8UE,53.509588,-2.3085589
IP14 5AU,52.190365,1.0015273
EH53 0EW,55.895633,-3.4624971
CM1 2LQ,51.747214,0.43986912
TS6 9JD,54.560031,-1.1430945
DN33 3AN,53.534619,-0.095722202
TN4 9TU,51.14265,0.25968607
WF6 2JJ,53.704976,-1.4309753
CH44 8AU,53.419296,-3.0271604
LE5 1FR,52.649538,-1.0640884
HU17 0EZ,53.845848,-0.41737342
BN22 7QT,50.774636,0.2959852
PO2 0BN,50.81661,-1.0800266
HA0 1SL,51.543061,-0.28531393
NE9 5HR,54.936987,-1.5960235
RH11 7ST,51.134507,-0.19084533
M41 0TS,53.449054,-2.3528545
S11 7BR,53.364658,-1.5155089
